hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t1343," 1,878.78 ", 279.32 , 367.59 , 744.26 , 467.24 , 873.07 ," 10,787.33 "," 11,348.47 ", 365.77 , 213.77 , 437.25 , 189.26 
t1344," 1,868.68 ", 280.00 , 365.92 , 740.24 , 464.86 , 873.40 ," 10,729.73 "," 11,269.97 ", 366.61 , 213.86 , 435.20 , 188.44 
t1345," 1,870.60 ", 281.96 , 366.16 , 740.99 , 464.29 , 878.29 ," 10,740.83 "," 11,249.51 ", 369.13 , 215.07 , 435.47 , 188.42 
t1346," 1,882.98 ", 285.38 , 367.79 , 745.90 , 465.79 , 886.14 ," 10,811.91 "," 11,325.03 ", 373.56 , 217.00 , 437.37 , 189.16 
t1347," 1,899.41 ", 290.18 , 370.59 , 752.40 , 468.84 , 899.19 ," 10,906.43 "," 11,529.92 ", 379.81 , 220.21 , 440.64 , 190.80 
t1348," 1,943.33 ", 299.11 , 378.72 , 769.78 , 478.55 , 925.14 ," 11,158.70 "," 12,561.74 ", 391.40 , 226.58 , 450.27 , 195.18 
t1349," 2,005.67 ", 310.72 , 390.50 , 794.47 , 492.39 , 961.06 ," 11,516.79 "," 13,619.46 ", 406.58 , 235.40 , 464.23 , 201.30 
t1350," 2,074.97 ", 324.14 , 404.35 , 821.90 , 509.45 ," 1,001.89 "," 11,914.98 "," 14,372.68 ", 423.97 , 245.42 , 480.66 , 208.41 
t1351," 2,115.97 ", 333.50 , 412.69 , 838.13 , 519.05 ," 1,029.78 "," 12,150.70 "," 14,509.37 ", 435.62 , 252.27 , 490.55 , 212.55 
t1352," 2,142.09 ", 339.86 , 417.15 , 848.46 , 525.03 ," 1,048.89 "," 12,300.82 "," 14,155.05 ", 442.83 , 256.98 , 495.78 , 214.97 
t1353," 2,130.43 ", 339.08 , 413.61 , 843.84 , 521.92 ," 1,045.30 "," 12,233.97 "," 13,491.39 ", 441.27 , 256.10 , 491.50 , 213.20 
t1354," 2,095.43 ", 333.97 , 405.90 , 829.96 , 513.32 ," 1,028.46 "," 12,033.08 "," 12,915.46 ", 434.76 , 251.97 , 482.26 , 208.91 
t1355," 2,036.86 ", 325.04 , 394.23 , 806.75 , 499.18 , 998.99 ," 11,697.08 "," 12,181.91 ", 423.19 , 244.74 , 468.32 , 202.76 
t1356," 1,979.02 ", 315.38 , 382.41 , 783.82 , 484.19 , 968.64 ," 11,365.20 "," 11,569.41 ", 410.77 , 237.29 , 454.19 , 196.72 
t1357," 1,919.77 ", 305.46 , 369.57 , 760.34 , 469.41 , 938.64 ," 11,025.21 "," 11,154.90 ", 397.83 , 229.93 , 438.81 , 190.61 
t1358," 1,908.06 ", 303.40 , 366.60 , 755.67 , 466.43 , 932.08 ," 10,958.42 "," 10,828.71 ", 395.25 , 228.30 , 435.17 , 189.92 
