hour,21,22,23,24,25,26,41,42,71,72,73,74,75,76,81,82,83,84
t0157,0.208,0.141,0.141,0.101,0.040,0.040,0.112,0.112,0.130,0.130,0.130,0.130,0.130,0.130,0.068,0.068,0.068,0.068
t0158,0.170,0.127,0.127,0.087,0.035,0.035,0.117,0.117,0.135,0.135,0.135,0.135,0.135,0.135,0.070,0.070,0.070,0.070
t0159,0.091,0.096,0.096,0.065,0.027,0.027,0.096,0.096,0.101,0.101,0.101,0.101,0.101,0.101,0.052,0.052,0.052,0.052
t0160,0.027,0.039,0.039,0.032,0.012,0.012,0.051,0.051,0.040,0.040,0.040,0.040,0.040,0.040,0.016,0.016,0.016,0.016
t0161,0.002,0.005,0.005,0.005,0.002,0.002,0.009,0.009,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.001,0.001,0.001
t0162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0177,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
t0178,0.001,0.002,0.002,0.005,0.022,0.022,0.020,0.020,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006
